name,rating,date,text
alife bata,5,Diedit 9 bulan lalu,"Pantai Mutun memang menawarkan pesona alam yang cukup menarik untuk dikunjungi. Dengan tiket masuk yang terbilang standar di angka Rp 35.000 per orang, ekspektasi akan pengalaman pantai yang menyenangkan tentu ada.

Sayangnya, sedikit pengalaman kurang mengenakkan justru datang dari area parkir. Meskipun tiket masuk sudah dibayar, kami masih diminta sejumlah uang parkir oleh petugas yang terasa tidak resmi. Ya, situasinya mirip seperti parkir di minimarket, di mana tarifnya ""seikhlasnya"". Jujur, ini menimbulkan sedikit kebingungan dan pertanyaan soal pengelolaan area pantai. Meskipun nominalnya mungkin tidak besar, praktik ini terasa kurang transparan dan bisa mengurangi kenyamanan pengunjung.

Untuk kelebihannya, Pantai Mutun sendiri cukup layak untuk dinikmati. Pemandangan lautnya lumayan indah, dengan pasir putih yang lembut di beberapa bagian. Ombaknya pun cenderung tenang, sehingga aman untuk bermain air, terutama bagi anak-anak. Tersedia juga pilihan untuk menyewa gazebo dengan harga berkisar antara Rp 100.000 hingga Rp 150.000. Gazebo ini tentu menjadi pilihan yang nyaman untuk bersantai bersama keluarga atau teman sambil menikmati pemandangan pantai.

Secara keseluruhan, Pantai Mutun punya potensi yang baik. Keindahan alamnya patut diapresiasi, dan fasilitas gazebo yang disewakan juga menambah kenyamanan. Namun, urusan parkir yang ""seikhlasnya"" ini perlu menjadi perhatian pengelola. Akan lebih baik jika ada tarif parkir resmi yang jelas, sehingga pengunjung tidak merasa ambigu dan lebih nyaman sejak awal kedatangan.

Rekomendasi:

Siapkan uang tunai lebih untuk biaya parkir ""seikhlasnya"".
Sewa gazebo jika Anda datang bersama rombongan atau ingin bersantai lebih lama.
Nikmati keindahan pantai dan ombaknya yang tenang.
Semoga pengalaman Anda di Pantai Mutun tetap menyenangkan, meskipun ada sedikit ""kejutan"" di area parkir."
Christian wijaya,1,9 bulan lalu,
Christian wijaya,1,9 bulan lalu,
Caecilia Anabella,5,Diedit 9 bulan lalu,"Sedikit kotor tapi masih jernih, sayang nya pada saat kesana sedang pasang"
Caecilia Anabella,5,Diedit 9 bulan lalu,"Sedikit kotor tapi masih jernih, sayang nya pada saat kesana sedang pasang"
Chindi 2021,3,9 bulan lalu,
Chindi 2021,3,9 bulan lalu,
Riandi Saputra,5,9 bulan lalu,
Riandi Saputra,5,9 bulan lalu,
Risky Ariansyah,3,9 bulan lalu,
Risky Ariansyah,3,9 bulan lalu,
SATRIA,5,9 bulan lalu,Di sini pantainya bagus dan indah
SATRIA,5,9 bulan lalu,Di sini pantainya bagus dan indah
Gus Wildan,1,9 bulan lalu,
Gus Wildan,1,9 bulan lalu,
Muhamad jidan maulana Jidanmaulana,4,10 bulan lalu,Bagus
Muhamad jidan maulana Jidanmaulana,4,10 bulan lalu,Bagus
Noviputri utami,5,10 bulan lalu,
Noviputri utami,5,10 bulan lalu,
Pak Djo,5,10 bulan lalu,"Pantai di Lampung ,suasananya tenang ,pas untuk rekreasi keluarga. Pemandangan di sore hari,sangat menyegarkan ,pas utk melepas penat setelah sibuk mencari nafkah.👍🙏😇🥰 …"
Pak Djo,5,10 bulan lalu,"Pantai di Lampung ,suasananya tenang ,pas untuk rekreasi keluarga. Pemandangan di sore hari,sangat menyegarkan ,pas utk melepas penat setelah sibuk mencari nafkah.👍🙏😇🥰 …"
Ayu Wandani,5,10 bulan lalu,
Ayu Wandani,5,10 bulan lalu,
Leri Antoni,5,10 bulan lalu,Mantap
Leri Antoni,5,10 bulan lalu,Mantap
erdhani yasit,1,10 bulan lalu,"Pantai nya kotor tiket mahal
Masuk 40
Sewa gazebo 100
Sewa tikar 30
Sangat menyesal"
erdhani yasit,1,10 bulan lalu,"Pantai nya kotor tiket mahal
Masuk 40
Sewa gazebo 100
Sewa tikar 30
Sangat menyesal"
Ariseman,5,10 bulan lalu,
Ariseman,5,10 bulan lalu,
Agusman Ruslan,5,10 bulan lalu,Rame
Agusman Ruslan,5,10 bulan lalu,Rame
Rusli Efendi,5,10 bulan lalu,
Rusli Efendi,5,10 bulan lalu,
Farrel William,5,10 bulan lalu,
Farrel William,5,10 bulan lalu,
Chel,2,11 bulan lalu,"Maaf gak banyak ambil foto dilokasi, semoga review ini bisa membantu.

Yang dibayar di gerbang masuk (wajib):
1. Tiket masuk: Rp35.000/orang (dewasa dan anak-anak sama)
2. Parkir mobil pribadi: Rp10.000/mobil

Biaya tambahan di dalam lokasi wisata (opsional, tergantung aktivitas):
3. Sewa gazebo: Mulai dari Rp50.000 (ukuran kecil) hingga Rp200.000 (ukuran besar)
4. Kamar mandi/toilet: Rp3.000/orang
5. Sewa kapal: Rp200.000/kapal (maks. 10 orang dewasa, sistem sewa per kapal, bukan per orang)
6. Tiket masuk ke pulau (jika menyeberang): Rp10.000/orang
7. Tiket masuk ke area pantai dengan perosotan: Rp10.000/orang
8. Sewa kano: Rp35.000/jam
9. Banana Boat: Rp25.000/orang (maks. 7 orang dewasa)
10. Rolling Donat: Rp25.000/orang (maks. 6 orang dewasa)

Perlu diperhatikan bahwa beberapa biaya bersifat wajib dan lainnya tergantung aktivitas yang dipilih. Jadi, sebaiknya siapkan dana tambahan jika ingin menikmati semua fasilitas.

Jadi bisa dihitung sendiri ya bapak/ibu disesuaikan dengan kebutuhan.

Saya berkunjung ke Pantai Mutun 2 pada hari Sabtu, 12 April 2025 bersama keluarga. Saat itu kondisi pantai cukup ramai, namun masih nyaman untuk dinikmati. Awalnya kami datang ke area dekat dermaga (gratis masuk, parkir Rp50.000/mobil), namun lokasi tersebut lebih cocok untuk wisatawan yang ingin menyeberang ke pulau, bukan untuk bermain di pantai, jadi kami memutuskan pindah ke area Pantai Mutun 2.

Garis pantainya ternyata cukup panjang dan bersebelahan langsung dengan Hotel Marriot Lampung. Ada area yang bersih dari karang dan cocok untuk bermain air, sayangnya malah digunakan sebagai tempat parkir kapal. Semoga ke depannya pengelola bisa menata area ini lebih baik agar pengunjung lebih leluasa berenang, apalagi harga tiket masuknya sudah cukup tinggi (dan belum ada perubahan dari keluhan serupa di review sebelumnya).

Fasilitas di dalam cukup lengkap: ada penjual makanan dan minuman dengan harga relatif terjangkau, musholla kecil tapi bersih, toilet dan kamar mandi cukup banyak, serta penjual baju dan suvenir juga tersedia.

Untuk sekadar bersantai dan menikmati suasana, tempat ini cukup nyaman dan adem, terutama di area yang banyak pepohonan. Namun, kalau ingin berenang, sebaiknya menyeberang ke pulau yang airnya lebih jernih dan minim karang.

Terima kasih."
Chel,2,11 bulan lalu,"Maaf gak banyak ambil foto dilokasi, semoga review ini bisa membantu.

Yang dibayar di gerbang masuk (wajib):
1. Tiket masuk: Rp35.000/orang (dewasa dan anak-anak sama)
2. Parkir mobil pribadi: Rp10.000/mobil

Biaya tambahan di dalam lokasi wisata (opsional, tergantung aktivitas):
3. Sewa gazebo: Mulai dari Rp50.000 (ukuran kecil) hingga Rp200.000 (ukuran besar)
4. Kamar mandi/toilet: Rp3.000/orang
5. Sewa kapal: Rp200.000/kapal (maks. 10 orang dewasa, sistem sewa per kapal, bukan per orang)
6. Tiket masuk ke pulau (jika menyeberang): Rp10.000/orang
7. Tiket masuk ke area pantai dengan perosotan: Rp10.000/orang
8. Sewa kano: Rp35.000/jam
9. Banana Boat: Rp25.000/orang (maks. 7 orang dewasa)
10. Rolling Donat: Rp25.000/orang (maks. 6 orang dewasa)

Perlu diperhatikan bahwa beberapa biaya bersifat wajib dan lainnya tergantung aktivitas yang dipilih. Jadi, sebaiknya siapkan dana tambahan jika ingin menikmati semua fasilitas.

Jadi bisa dihitung sendiri ya bapak/ibu disesuaikan dengan kebutuhan.

Saya berkunjung ke Pantai Mutun 2 pada hari Sabtu, 12 April 2025 bersama keluarga. Saat itu kondisi pantai cukup ramai, namun masih nyaman untuk dinikmati. Awalnya kami datang ke area dekat dermaga (gratis masuk, parkir Rp50.000/mobil), namun lokasi tersebut lebih cocok untuk wisatawan yang ingin menyeberang ke pulau, bukan untuk bermain di pantai, jadi kami memutuskan pindah ke area Pantai Mutun 2.

Garis pantainya ternyata cukup panjang dan bersebelahan langsung dengan Hotel Marriot Lampung. Ada area yang bersih dari karang dan cocok untuk bermain air, sayangnya malah digunakan sebagai tempat parkir kapal. Semoga ke depannya pengelola bisa menata area ini lebih baik agar pengunjung lebih leluasa berenang, apalagi harga tiket masuknya sudah cukup tinggi (dan belum ada perubahan dari keluhan serupa di review sebelumnya).

Fasilitas di dalam cukup lengkap: ada penjual makanan dan minuman dengan harga relatif terjangkau, musholla kecil tapi bersih, toilet dan kamar mandi cukup banyak, serta penjual baju dan suvenir juga tersedia.

Untuk sekadar bersantai dan menikmati suasana, tempat ini cukup nyaman dan adem, terutama di area yang banyak pepohonan. Namun, kalau ingin berenang, sebaiknya menyeberang ke pulau yang airnya lebih jernih dan minim karang.

Terima kasih."
Viviani Nurmala,4,11 bulan lalu,
Viviani Nurmala,4,11 bulan lalu,
Yusuf Arif,5,11 bulan lalu,
Yusuf Arif,5,11 bulan lalu,
DonSjbt,5,11 bulan lalu,Tempat yang bagus
DonSjbt,5,11 bulan lalu,Tempat yang bagus
Finoto Aji,1,11 bulan lalu,g bagusss
Finoto Aji,1,11 bulan lalu,g bagusss
Daud Sudrajat,5,11 bulan lalu,Mantap
Daud Sudrajat,5,11 bulan lalu,Mantap
Waluyo HINO Chanel,2,11 bulan lalu,"Memang harus extra... Lumayan untuk tiketnya... Nyebrang, biaya sewa gazebo.. Tiket lagi di pulau...
Tiket masuk 35.000
Gazebo 50.000
Kapal 200.000
Tiket pulau 10.000
Mandi 5.000
Kondisi pantainya kurang rapi dan bersih.."
Waluyo HINO Chanel,2,11 bulan lalu,"Memang harus extra... Lumayan untuk tiketnya... Nyebrang, biaya sewa gazebo.. Tiket lagi di pulau...
Tiket masuk 35.000
Gazebo 50.000
Kapal 200.000
Tiket pulau 10.000
Mandi 5.000
Kondisi pantainya kurang rapi dan bersih.."
Sapira 00,5,11 bulan lalu,
Sapira 00,5,11 bulan lalu,
Sukma wati,1,setahun lalu,"Biaya masuk mahal
Jalan ny jelek
Kebersihan ga terjaga

Ga ad apa”"
Sukma wati,1,setahun lalu,"Biaya masuk mahal
Jalan ny jelek
Kebersihan ga terjaga

Ga ad apa”"
Misharyadi yadi,5,setahun lalu,👍👍👍 …
Misharyadi yadi,5,setahun lalu,👍👍👍 …
retno palupi,5,setahun lalu,
retno palupi,5,setahun lalu,
Ihsan al Wafi,1,setahun lalu,"mahal,pungli,toilet bau pakai air sawah,jangan kesini lagi"
Ihsan al Wafi,1,setahun lalu,"mahal,pungli,toilet bau pakai air sawah,jangan kesini lagi"
Muhamad Ridho aulia,1,setahun lalu,"Mahal,petugas ngambil untung,bilas di toilet pakai air sawah"
Muhamad Ridho aulia,1,setahun lalu,"Mahal,petugas ngambil untung,bilas di toilet pakai air sawah"
Ahmad Mishbahuddin,1,setahun lalu,"MAHAL,BILAS PAKAI AIR SAWAH DI TOILET NYA,JANGAN KESINI"
Ahmad Mishbahuddin,1,setahun lalu,"MAHAL,BILAS PAKAI AIR SAWAH DI TOILET NYA,JANGAN KESINI"
wwin,3,setahun lalu,
wwin,3,setahun lalu,
qorib alFath,5,Diedit setahun lalu,"Pantainya indah.. Aksesnya lancar..
Htm 35rb perorang, parkir mobil 10rb.
Nyebrang ke pulau tangkil 200rb (minta bonus keliling pulau tangkil jgn lupa, pasti dikasih)
Htm pulau tangkilnya 10rb perorang.."
qorib alFath,5,Diedit setahun lalu,"Pantainya indah.. Aksesnya lancar..
Htm 35rb perorang, parkir mobil 10rb.
Nyebrang ke pulau tangkil 200rb (minta bonus keliling pulau tangkil jgn lupa, pasti dikasih)
Htm pulau tangkilnya 10rb perorang.."
dodo franca,4,setahun lalu,"Harusnya ini bisa lebih bagus, potensi wisata yg cukup menjajikan, tetapi ini juga berpotensi menberikan pengalaman buruk karena parkir kurang luas, pantai nya lumayan banyak sampah"
dodo franca,4,setahun lalu,"Harusnya ini bisa lebih bagus, potensi wisata yg cukup menjajikan, tetapi ini juga berpotensi menberikan pengalaman buruk karena parkir kurang luas, pantai nya lumayan banyak sampah"
Almas Kaulika,3,setahun lalu,"mending nyabrang ke tangkil, wc nya jorok ngantri, ga nyaman."
Almas Kaulika,3,setahun lalu,"mending nyabrang ke tangkil, wc nya jorok ngantri, ga nyaman."
Anung Nurselo,2,Diedit setahun lalu,Pantai biasa saja.... Yg luar biasa untuk parkir.... Dengan tiket retribusi yg ga jelas... Tiket bekas....
Anung Nurselo,2,Diedit setahun lalu,Pantai biasa saja.... Yg luar biasa untuk parkir.... Dengan tiket retribusi yg ga jelas... Tiket bekas....
Sutris No,4,setahun lalu,Pernah Kesitu saat lulusan SD pariwisata
Sutris No,4,setahun lalu,Pernah Kesitu saat lulusan SD pariwisata
Ivan Kezuma,5,setahun lalu,"Cocok buat liburan anak2,ombak ny tenang. Syang ny mo du2k d saung hrs nyewa,bda sm pntai sblah. Free"
Ivan Kezuma,5,setahun lalu,"Cocok buat liburan anak2,ombak ny tenang. Syang ny mo du2k d saung hrs nyewa,bda sm pntai sblah. Free"
Rendi Yang,5,setahun lalu,
Rendi Yang,5,setahun lalu,
Ahwan Saputra,5,setahun lalu,
Ahwan Saputra,5,setahun lalu,
Saryono Yono,5,setahun lalu,
Saryono Yono,5,setahun lalu,
Toni Robiansyah,5,setahun lalu,
Toni Robiansyah,5,setahun lalu,
Arleo Desnando,5,setahun lalu,"bagus, cuma lebih bagus nyebrang pulau tangkil nya. pasir nya luas, cocok untuk anak anak bermain. tapi untuk yang di ujung pulau tolong dong sampah nya dibersihkan. banyak pecahan botol, jdi ngeri mau jalan. sampah betaburan di air (khusus di ujung pulau tangkil) untuk sekitaran palang pulau sih aman. view bagus, penjual makanan banyak. keamanan oke, selalu diperingati kalau ada yg melewati batas saat mandi di pantai nya."
Arleo Desnando,5,setahun lalu,"bagus, cuma lebih bagus nyebrang pulau tangkil nya. pasir nya luas, cocok untuk anak anak bermain. tapi untuk yang di ujung pulau tolong dong sampah nya dibersihkan. banyak pecahan botol, jdi ngeri mau jalan. sampah betaburan di air (khusus di ujung pulau tangkil) untuk sekitaran palang pulau sih aman. view bagus, penjual makanan banyak. keamanan oke, selalu diperingati kalau ada yg melewati batas saat mandi di pantai nya."
Juli Desi Irene Lumbanbatu,5,setahun lalu,"Suka saya, bayar gak terlalu mahal dan pasirnya dari semua area bagus"
Juli Desi Irene Lumbanbatu,5,setahun lalu,"Suka saya, bayar gak terlalu mahal dan pasirnya dari semua area bagus"
Zheyla Zheyla azizah putri farhani,5,setahun lalu,
Zheyla Zheyla azizah putri farhani,5,setahun lalu,
Marnina Mustika Ayu,3,setahun lalu,Kurang terawat saja
Marnina Mustika Ayu,3,setahun lalu,Kurang terawat saja
Safitri Pit,5,setahun lalu,
Safitri Pit,5,setahun lalu,
Susan Arisanti,3,setahun lalu,Apa apa duit padahal udah bayar tiket masuk 😌 …
Susan Arisanti,3,setahun lalu,Apa apa duit padahal udah bayar tiket masuk 😌 …
Ipan Ipan,3,setahun lalu,
Ipan Ipan,3,setahun lalu,
Ehsanur_ Hasanudin,3,setahun lalu,Banyak kenangan
Ehsanur_ Hasanudin,3,setahun lalu,Banyak kenangan
Amethy Sayyara,5,setahun lalu,Asik tuk menemani anak² mandi di pinggir pantai
Amethy Sayyara,5,setahun lalu,Asik tuk menemani anak² mandi di pinggir pantai
Nicko Handi,5,setahun lalu,
Nicko Handi,5,setahun lalu,
auto game99,1,setahun lalu,Tolong pak tempat solatnya kasian yang mau sholat
auto game99,1,setahun lalu,Tolong pak tempat solatnya kasian yang mau sholat
sari ss,5,setahun lalu,
sari ss,5,setahun lalu,
Farel Iqbal,2,setahun lalu,
Farel Iqbal,2,setahun lalu,
ziat fachruzi,5,setahun lalu,
ziat fachruzi,5,setahun lalu,
retno yuliati,4,setahun lalu,"Sejujurnya pantainya lumayan oke, toilet bersih. Alangkah baiknya jika kapal2 disekitar pantai ditertibkan,agak mengganggu yg berenang. Sebaiknya sih ada space/ dermaga khusus untuk kapal2 ini. Belum lg dr parkiran sudah ditunggu2 oleh pemilik kapal yg menawarkan paket ke pulau2 sekitar. Setiap jalan ada lagi yg menawari. Ada baiknya jika pemilik2 kapal ini diorganisir, dilayani satu pintu. Jadi, satu loket saja untuk pelayanan ke pulau2, jetski, dan permainan2 lain. Atau lebih baik lg jika ada jam2 khusus menuju pulau, jadi dikenakan tiket per orang alih2 sistem Carter! Halow Pemda terkait, semoga anda membaca review ini.  Kondisi alam anda terlalu baguus,sayang jika dikelola kurang profesional. Mungkin bisa dimulai dari studi banding.  Maaf klo saya harsh, saya cuma ingin punya kebanggan sbg putra Lampung! Salam Sang Bumi Ruwa Jurai!"
retno yuliati,4,setahun lalu,"Sejujurnya pantainya lumayan oke, toilet bersih. Alangkah baiknya jika kapal2 disekitar pantai ditertibkan,agak mengganggu yg berenang. Sebaiknya sih ada space/ dermaga khusus untuk kapal2 ini. Belum lg dr parkiran sudah ditunggu2 oleh pemilik kapal yg menawarkan paket ke pulau2 sekitar. Setiap jalan ada lagi yg menawari. Ada baiknya jika pemilik2 kapal ini diorganisir, dilayani satu pintu. Jadi, satu loket saja untuk pelayanan ke pulau2, jetski, dan permainan2 lain. Atau lebih baik lg jika ada jam2 khusus menuju pulau, jadi dikenakan tiket per orang alih2 sistem Carter! Halow Pemda terkait, semoga anda membaca review ini.  Kondisi alam anda terlalu baguus,sayang jika dikelola kurang profesional. Mungkin bisa dimulai dari studi banding.  Maaf klo saya harsh, saya cuma ingin punya kebanggan sbg putra Lampung! Salam Sang Bumi Ruwa Jurai!"
Irma Dwi,4,setahun lalu,
Irma Dwi,4,setahun lalu,
elly salim,5,setahun lalu,Pantai bisa buat anak-anak main pasir dan berenang. Tiket masuk nya 35.000 per org. Sewa pondokan 100-200 rb per pondok.
elly salim,5,setahun lalu,Pantai bisa buat anak-anak main pasir dan berenang. Tiket masuk nya 35.000 per org. Sewa pondokan 100-200 rb per pondok.
Sulaeman Salman,4,setahun lalu,"Bagus untuk keluarga, ramah, 35 rb perorang, mobil 10 rb,"
Sulaeman Salman,4,setahun lalu,"Bagus untuk keluarga, ramah, 35 rb perorang, mobil 10 rb,"
NAIL ALKAUTSAR PROPERTINDO,5,setahun lalu,Buat hiburan
NAIL ALKAUTSAR PROPERTINDO,5,setahun lalu,Buat hiburan
Rizkiyanto,1,setahun lalu,Biayanya terlalu mahal. Ber 6 + mobil dikenakan biaya 220rb. Trus pantainya kotor.
Rizkiyanto,1,setahun lalu,Biayanya terlalu mahal. Ber 6 + mobil dikenakan biaya 220rb. Trus pantainya kotor.
Dudi Komaruddin,5,Diedit setahun lalu,"Pantainya tenang, cocok untuk bawa keluarga..."
Dudi Komaruddin,5,Diedit setahun lalu,"Pantainya tenang, cocok untuk bawa keluarga..."
Moza 32,4,setahun lalu,
Moza 32,4,setahun lalu,
Henri Yanto,5,setahun lalu,
Henri Yanto,5,setahun lalu,
Feli Kartika,3,setahun lalu,
Feli Kartika,3,setahun lalu,
Yutriani Sandu,5,setahun lalu,
Yutriani Sandu,5,setahun lalu,
Fajar,4,setahun lalu,
Fajar,4,setahun lalu,
Ngain Putra,1,setahun lalu,jelek pantainya
Ngain Putra,1,setahun lalu,jelek pantainya
Yudhi Rahmat,5,setahun lalu,Asik tempatnya rekomendasi bagi keluarga
Yudhi Rahmat,5,setahun lalu,Asik tempatnya rekomendasi bagi keluarga
Hrmwnardi,5,setahun lalu,
Hrmwnardi,5,setahun lalu,
Muhammad Aditya,5,Diedit setahun lalu,Pemandangannya bagus tapi terlalu banyak orang
Muhammad Aditya,5,Diedit setahun lalu,Pemandangannya bagus tapi terlalu banyak orang
Kevin Gunawan,5,setahun lalu,
Kevin Gunawan,5,setahun lalu,
Lisdan Ena,5,setahun lalu,"Sung sangat ,menyenagkan dan kagum dg keindahan alam sertai pantai yg bersih indah dan estotik"
Lisdan Ena,5,setahun lalu,"Sung sangat ,menyenagkan dan kagum dg keindahan alam sertai pantai yg bersih indah dan estotik"
Bustanul Arifin,5,setahun lalu,💯 …
Bustanul Arifin,5,setahun lalu,💯 …
Billy Juan Felix,5,setahun lalu,"Pantai Mutun adalah surga pesisir yang tenang di mana air laut yang berwarna biru kehijauan dengan lembut menyentuh pasir pantai yang halus. Di cakrawala, terdapat deretan perahu yang tenang, mencerminkan warisan maritim yang kaya dari pantai ini. Pegunungan yang menjulang megah, diselimuti kabut yang misterius. Pepohonan hijau yang subur membingkai pemandangan indah ini, membisikkan kisah-kisah keindahan tropis, menjadikan Pantai Mutun tempat yang sempurna untuk refleksi dan seni alam. 🌴🌊"
Billy Juan Felix,5,setahun lalu,"Pantai Mutun adalah surga pesisir yang tenang di mana air laut yang berwarna biru kehijauan dengan lembut menyentuh pasir pantai yang halus. Di cakrawala, terdapat deretan perahu yang tenang, mencerminkan warisan maritim yang kaya dari pantai ini. Pegunungan yang menjulang megah, diselimuti kabut yang misterius. Pepohonan hijau yang subur membingkai pemandangan indah ini, membisikkan kisah-kisah keindahan tropis, menjadikan Pantai Mutun tempat yang sempurna untuk refleksi dan seni alam. 🌴🌊"
Miftakhul Jannah,4,setahun lalu,
Miftakhul Jannah,4,setahun lalu,
Muhammad Rasimum,5,setahun lalu,Keren tempatnya ramai
Muhammad Rasimum,5,setahun lalu,Keren tempatnya ramai
Haikal Gunawan,5,setahun lalu,Bagus pantai nya dan aku suka banget
Haikal Gunawan,5,setahun lalu,Bagus pantai nya dan aku suka banget
Suyoto Yoto,5,setahun lalu,
Suyoto Yoto,5,setahun lalu,
Mukdi Halimutib,5,setahun lalu,
Mukdi Halimutib,5,setahun lalu,
Rahmat Ya qadhafi,5,setahun lalu,Cakep
Rahmat Ya qadhafi,5,setahun lalu,Cakep
Afsyah Albana,4,setahun lalu,Jelek
Afsyah Albana,4,setahun lalu,Jelek
Muslimin Mhuslimin,4,setahun lalu,Bagus namun untuk kebersihan nya minta di tingkatkan lagi.
Muslimin Mhuslimin,4,setahun lalu,Bagus namun untuk kebersihan nya minta di tingkatkan lagi.
Iwann Sah,1,setahun lalu,Sepi jelek
Iwann Sah,1,setahun lalu,Sepi jelek
Dono Pri,5,setahun lalu,"Pantai muntun bagus sekali, bisa lihat pantai pulau dan gunung 👍👍👍 …"
Dono Pri,5,setahun lalu,"Pantai muntun bagus sekali, bisa lihat pantai pulau dan gunung 👍👍👍 …"
Handi,5,setahun lalu,Penataan rambut
Handi,5,setahun lalu,Penataan rambut
Muhammad Rio Sales,5,setahun lalu,"Masuk 35rb/orang
Parkir mobil 10rb
Pondokan di sewakan 100rb
Naik kapal 20rb/orang
Mandi bilas 3rb"
Muhammad Rio Sales,5,setahun lalu,"Masuk 35rb/orang
Parkir mobil 10rb
Pondokan di sewakan 100rb
Naik kapal 20rb/orang
Mandi bilas 3rb"
Riri Suka Jalan,5,setahun lalu,"Uang Masuk Rp 35.000,-/orang. Pantainya lumayan bersih. tapi sayang pas berkunjung lagi ramai banged dan banyak kapal penumpang yang lagi sandar.Jadi kurang bisa di nikmati.Disini ada pos lifeguardnya juga. Kamar Mandinya lumayan Bersih Rp 3.000,- ada Jual plastik kresek buat baju basah Rp 2.000,-."
Riri Suka Jalan,5,setahun lalu,"Uang Masuk Rp 35.000,-/orang. Pantainya lumayan bersih. tapi sayang pas berkunjung lagi ramai banged dan banyak kapal penumpang yang lagi sandar.Jadi kurang bisa di nikmati.Disini ada pos lifeguardnya juga. Kamar Mandinya lumayan Bersih Rp 3.000,- ada Jual plastik kresek buat baju basah Rp 2.000,-."
Eunice Adeline Thea,5,setahun lalu,"Pantainya dekat dengan kota bandar lampung, untuk quick escape/quick trip oke banget

Price affordable, air lautnya bersih banget🫶🏻, pasirnya pasir putih, pantainya cukup bersih walaupun ada sedikit sampah plastik"
Eunice Adeline Thea,5,setahun lalu,"Pantainya dekat dengan kota bandar lampung, untuk quick escape/quick trip oke banget

Price affordable, air lautnya bersih banget🫶🏻, pasirnya pasir putih, pantainya cukup bersih walaupun ada sedikit sampah plastik"
Aqmal Alfarhan,5,setahun lalu,MANTAB
Aqmal Alfarhan,5,setahun lalu,MANTAB
I Wayan Sudirko,5,setahun lalu,"Tempat wisata laut dan terapi kesehatan struk,  urat kejepit banyak yg sembuh asal rutin"
I Wayan Sudirko,5,setahun lalu,"Tempat wisata laut dan terapi kesehatan struk,  urat kejepit banyak yg sembuh asal rutin"
EkaQiana Agustin,5,setahun lalu,"Bagus, bisa nyebrang pulau tangkil ya,, TPI syaang toilet  airnya bau bngt"
EkaQiana Agustin,5,setahun lalu,"Bagus, bisa nyebrang pulau tangkil ya,, TPI syaang toilet  airnya bau bngt"
Okta pianti,5,setahun lalu,
Okta pianti,5,setahun lalu,
Yudi “You day” Beib,4,setahun lalu,"Cocok untuk t4 berlibur keluarga,,"
Yudi “You day” Beib,4,setahun lalu,"Cocok untuk t4 berlibur keluarga,,"
dinaryutas,5,setahun lalu,Pemandangannya bagus
dinaryutas,5,setahun lalu,Pemandangannya bagus
Muhammad Saputra,5,setahun lalu,
Muhammad Saputra,5,setahun lalu,
rustam afandi,5,setahun lalu,Pantainya bersih aman dan nyaman
rustam afandi,5,setahun lalu,Pantainya bersih aman dan nyaman
Novita Zahra,3,setahun lalu,"Aku kira ngitungnya per mobil. Ternyata per orang 35ribu, terus 8 orang dimobil termasuk anak dibawah 5tahun pun dihitung. Padahal bukan weekend 🍂 …"
Novita Zahra,3,setahun lalu,"Aku kira ngitungnya per mobil. Ternyata per orang 35ribu, terus 8 orang dimobil termasuk anak dibawah 5tahun pun dihitung. Padahal bukan weekend 🍂 …"
Mir Za,2,setahun lalu,
Mir Za,2,setahun lalu,
yehezkiel wisnu,5,setahun lalu,"Pantai bersih.
Banyak ikan.
Pasir putih.
Masuk 35k/orang
Mobil 10k/parkir.
Rekomen"
yehezkiel wisnu,5,setahun lalu,"Pantai bersih.
Banyak ikan.
Pasir putih.
Masuk 35k/orang
Mobil 10k/parkir.
Rekomen"
Hadi Aja,5,setahun lalu,
Hadi Aja,5,setahun lalu,
AWAL HADI,5,setahun lalu,
AWAL HADI,5,setahun lalu,
yunita Sitompul,1,setahun lalu,"Kecewa banget, kesel, jauh2 dr palembang. Begitu mau masuk htm 35rb dengan 2 mobil isi 8 orang jadi 300rb. Diminta perdanya tidak bisa menunjukkan . Jdi kami tidak jd masuk. Ini sih udah pungli.  Kesebelahnya jg gt, tiket masuk 50rb walaupun itu udh msuk parkir sama orangnya. Tp tetap aja itu pungli.
Udah jalannya aja jg jelek. Tolonglah pemerintah daerah perhatikan itu."
yunita Sitompul,1,setahun lalu,"Kecewa banget, kesel, jauh2 dr palembang. Begitu mau masuk htm 35rb dengan 2 mobil isi 8 orang jadi 300rb. Diminta perdanya tidak bisa menunjukkan . Jdi kami tidak jd masuk. Ini sih udah pungli.  Kesebelahnya jg gt, tiket masuk 50rb walaupun itu udh msuk parkir sama orangnya. Tp tetap aja itu pungli.
Udah jalannya aja jg jelek. Tolonglah pemerintah daerah perhatikan itu."
kAL Jack,5,setahun lalu,Pelabuhan dan pantai terbuka
kAL Jack,5,setahun lalu,Pelabuhan dan pantai terbuka
Erwin Yuitasari,5,setahun lalu,Datang dipagi hari masih bersih dan segar
Erwin Yuitasari,5,setahun lalu,Datang dipagi hari masih bersih dan segar
nova sanjaya,5,setahun lalu,
nova sanjaya,5,setahun lalu,
Richa Rachdhan,4,setahun lalu,Pantai Mutun sering pasang.. bagusss tp sayang aja jd kurang menikmaati kalo pas lagi pasang... Tp recommended bgt kalo kalian nyebrang ke Pulau Tangkil... Bagus bangettt seru... Bersih juga... Cocok bgt buat liburan bareng keluarga atau temen.. cobain deh 🤩🥳 …
